experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Auditory_Alterations_mean,Auditory_Alterations_std,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Vigilance_Reduction_mean,Vigilance_Reduction_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
131,6,0,60-90,NULL,healthy,5D-ASC(3D-OAV+2D),20395317,10.1177/0269881110367445,"Carhart-Harris RL","2011 Nov","Carhart-Harris, R.L., Williams, T.M., Sessa, B., Tyacke, R.J., Rich, A.S., Feilding, A. & Nutt, D.J. (2011) The administration of psilocybin to healthy, hallucinogen-experienced volunteers in a mock-functional magnetic resonance imaging environment: a preliminary investigation of tolerability. Journal of psychopharmacology (Oxford, England), 11, 1562-7.","This study sought to assess the tolerability of intravenously administered
psilocybin in healthy, hallucinogen-experienced volunteers in a mock-magnetic
resonance imaging environment as a preliminary stage to a controlled
investigation using functional magnetic resonance imaging to explore the effects 
of psilocybin on cerebral blood flow and activity. The present pilot study
demonstrated that up to 2 mg of psilocybin delivered as a slow intravenous
injection produces short-lived but typical drug effects that are psychologically 
and physiologically well tolerated. With appropriate care, this study supports
the viability of functional magnetic resonance imaging work with psilocybin.",NULL,2,mg,"Three subjects received 1.5mg psilocybin before ethics permission was sought to increase the dose to 2mg, and six participants received 2mg psilocybin after establishing the tolerability of the lower dose.",Psilocybin,i.v.,4.90,6.51,10.61,11.41,27.11,23.23,14.85,16.30,25.89,22.82
133,12,1,360,NULL,clinical,5D-ASC(3D-OAV+2D),20819978,10.1001/archgenpsychiatry.2010.116,NULL,NULL,NULL,NULL,NULL,250,mg,"Each subject acted as his or her own control and was provided 2 experimental treatment sessions spaced several weeks apart. They were informed that they would receive active psilocybin (0.2 mg/kg) on one occasion and the placebo, niacin (250 mg), on the other occasion. Psilocybin and placebo were administered in clear 00 capsules with corn starch and swallowed with 100 mL of water.
",Niacin,"capsule (oral)",2.53,5.20,2.95,5.13,5.41,6.82,9.84,8.52,3.93,5.13
134,12,0,360,NULL,clinical,5D-ASC(3D-OAV+2D),20819978,10.1001/archgenpsychiatry.2010.116,NULL,NULL,NULL,NULL,NULL,0.2,mg/kg,"Each subject acted as his or her own control and was provided 2 experimental treatment sessions spaced several weeks apart. They were informed that they would receive active psilocybin (0.2 mg/kg) on one occasion and the placebo, niacin (250 mg), on the other occasion. Psilocybin and placebo were administered in clear 00 capsules with corn starch and swallowed with 100 mL of water.
",Psilocybin,"capsule (oral)",9.34,11.95,6.89,8.49,46.23,23.83,17.70,22.17,34.43,23.83
153,12,0,450,NULL,NULL,5D-ASC(3D-OAV+2D),21152030,10.1371/journal.pone.0014075,"Baggott MJ","2010 Dec 2","Baggott, M.J., Siegrist, J.D., Galloway, G.P., Robertson, L.C., Coyle, J.R. & Mendelson, J.E. (2010) Investigating the mechanisms of hallucinogen-induced visions using 3,4-methylenedioxyamphetamine (MDA): a randomized controlled trial in humans. PloS one, 12, e14074.","BACKGROUND: The mechanisms of drug-induced visions are poorly understood. Very
few serotonergic hallucinogens have been studied in humans in decades, despite
widespread use of these drugs and potential relevance of their mechanisms to
hallucinations occurring in psychiatric and neurological disorders.
METHODOLOGY/PRINCIPAL FINDINGS: We investigated the mechanisms of
hallucinogen-induced visions by measuring the visual and perceptual effects of
the hallucinogenic serotonin 5-HT2AR receptor agonist and monoamine releaser,
3,4-methylenedioxyamphetamine (MDA), in a double-blind placebo-controlled study. 
We found that MDA increased self-report measures of mystical-type experience and 
other hallucinogen-like effects, including reported visual alterations. MDA
produced a significant increase in closed-eye visions (CEVs), with considerable
individual variation. Magnitude of CEVs after MDA was associated with lower
performance on measures of contour integration and object recognition.
CONCLUSIONS/SIGNIFICANCE: Drug-induced visions may have greater intensity in
people with poor sensory or perceptual processing, suggesting common mechanisms
with other hallucinatory syndromes. MDA is a potential tool to investigate
mystical experiences and visual perception.
TRIAL REGISTRATION: Clinicaltrials.gov NCT00823407.",NULL,1.4,mg/kg,"Experimental drug administration occurred after a 2-hour fast to minimize individual variance in drug absorption. Lactose in a gelatin capsule was used for the placebo. MDA was administered in a dose of 98 mg/70 kg body weight in a gelatin capsule identical to the placebo. Drug and placebo dosing occurred on consecutive days.",MDMA,"capsule (oral)",NULL,NULL,NULL,NULL,53.27,25.25,NULL,NULL,NULL,NULL
154,12,0,450,NULL,NULL,5D-ASC(3D-OAV+2D),21152030,10.1371/journal.pone.0014076,"Baggott MJ","2010 Dec 2","Baggott, M.J., Siegrist, J.D., Galloway, G.P., Robertson, L.C., Coyle, J.R. & Mendelson, J.E. (2010) Investigating the mechanisms of hallucinogen-induced visions using 3,4-methylenedioxyamphetamine (MDA): a randomized controlled trial in humans. PloS one, 12, e14074.","BACKGROUND: The mechanisms of drug-induced visions are poorly understood. Very
few serotonergic hallucinogens have been studied in humans in decades, despite
widespread use of these drugs and potential relevance of their mechanisms to
hallucinations occurring in psychiatric and neurological disorders.
METHODOLOGY/PRINCIPAL FINDINGS: We investigated the mechanisms of
hallucinogen-induced visions by measuring the visual and perceptual effects of
the hallucinogenic serotonin 5-HT2AR receptor agonist and monoamine releaser,
3,4-methylenedioxyamphetamine (MDA), in a double-blind placebo-controlled study. 
We found that MDA increased self-report measures of mystical-type experience and 
other hallucinogen-like effects, including reported visual alterations. MDA
produced a significant increase in closed-eye visions (CEVs), with considerable
individual variation. Magnitude of CEVs after MDA was associated with lower
performance on measures of contour integration and object recognition.
CONCLUSIONS/SIGNIFICANCE: Drug-induced visions may have greater intensity in
people with poor sensory or perceptual processing, suggesting common mechanisms
with other hallucinatory syndromes. MDA is a potential tool to investigate
mystical experiences and visual perception.
TRIAL REGISTRATION: Clinicaltrials.gov NCT00823407.",NULL,1.4,mg/kg,"Experimental drug administration occurred after a 2-hour fast to minimize individual variance in drug absorption. Lactose in a gelatin capsule was used for the placebo. MDA was administered in a dose of 98 mg/70 kg body weight in a gelatin capsule identical to the placebo. Drug and placebo dosing occurred on consecutive days.",MDMA,"capsule (oral)",NULL,NULL,5.89,7.76,NULL,NULL,NULL,NULL,NULL,NULL
155,12,0,450,NULL,NULL,5D-ASC(3D-OAV+2D),21152030,10.1371/journal.pone.0014077,"Baggott MJ","2010 Dec 2","Baggott, M.J., Siegrist, J.D., Galloway, G.P., Robertson, L.C., Coyle, J.R. & Mendelson, J.E. (2010) Investigating the mechanisms of hallucinogen-induced visions using 3,4-methylenedioxyamphetamine (MDA): a randomized controlled trial in humans. PloS one, 12, e14074.","BACKGROUND: The mechanisms of drug-induced visions are poorly understood. Very
few serotonergic hallucinogens have been studied in humans in decades, despite
widespread use of these drugs and potential relevance of their mechanisms to
hallucinations occurring in psychiatric and neurological disorders.
METHODOLOGY/PRINCIPAL FINDINGS: We investigated the mechanisms of
hallucinogen-induced visions by measuring the visual and perceptual effects of
the hallucinogenic serotonin 5-HT2AR receptor agonist and monoamine releaser,
3,4-methylenedioxyamphetamine (MDA), in a double-blind placebo-controlled study. 
We found that MDA increased self-report measures of mystical-type experience and 
other hallucinogen-like effects, including reported visual alterations. MDA
produced a significant increase in closed-eye visions (CEVs), with considerable
individual variation. Magnitude of CEVs after MDA was associated with lower
performance on measures of contour integration and object recognition.
CONCLUSIONS/SIGNIFICANCE: Drug-induced visions may have greater intensity in
people with poor sensory or perceptual processing, suggesting common mechanisms
with other hallucinatory syndromes. MDA is a potential tool to investigate
mystical experiences and visual perception.
TRIAL REGISTRATION: Clinicaltrials.gov NCT00823407.",NULL,1.4,mg/kg,"Experimental drug administration occurred after a 2-hour fast to minimize individual variance in drug absorption. Lactose in a gelatin capsule was used for the placebo. MDA was administered in a dose of 98 mg/70 kg body weight in a gelatin capsule identical to the placebo. Drug and placebo dosing occurred on consecutive days.",MDMA,"capsule (oral)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47.10,27.19
164,16,1,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),21677639,10.1038/clpt.2011.78,"Hysek CM","2011 Aug","Hysek, C.M., Simmler, L.D., Ineichen, M., Grouzmann, E., Hoener, M.C., Brenneisen, R., Huwyler, J. & Liechti, M.E. (2011) The norepinephrine transporter inhibitor reboxetine reduces stimulant effects of MDMA (""ecstasy"") in humans. Clinical pharmacology and therapeutics, 2, 246-55.","This study assessed the pharmacodynamic and pharmacokinetic effects of the
interaction between the selective norepinephrine (NE) transporter inhibitor
reboxetine and 3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy"") in 16 healthy 
subjects. The study used a double-blind, placebo-controlled crossover design.
Reboxetine reduced the effects of MDMA including elevations in plasma levels of
NE, increases in blood pressure and heart rate, subjective drug high,
stimulation, and emotional excitation. These effects were evident despite an
increase in the concentrations of MDMA and its active metabolite
3,4-methylenedioxyamphetamine (MDA) in plasma. The results demonstrate that
transporter-mediated NE release has a critical role in the cardiovascular and
stimulant-like effects of MDMA in humans.",NULL,8.00,mg,"(±) MDMA hydrochloride (Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100mg and 25mg) by Bichsel Laboratories AG, Interlaken, Switzerland, in accordance with good manufacturing practice. Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute dose of 125mg, corresponding to a dose of 1.85 ± 0.24mg/kg body weight. This dose Clinical pharmacology & Therapeutics | VOLUME 90 NUMBER 2 | august 2011 253 articles of MDMA corresponds to a typical recreational dose of ecstasy, and comparable doses of MDMA have previously been used in controlled settings.2–4,43 Reboxetine is a potent, selective, and specific NE uptake inhibitor.35 Reboxetine (8mg, Edronax; Pfizer, Zurich, Switzerland) and identical-looking placebo (lactose) capsules were similarly prepared by Bichsel Laboratories. Reboxetine (8mg) or placebo was administered twice, 12h and 1h before MDMA (125mg) or placebo. Similar dosing regim",Reboxetine,"capsule (oral)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,16,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),21677639,10.1038/clpt.2011.78,"Hysek CM","2011 Aug","Hysek, C.M., Simmler, L.D., Ineichen, M., Grouzmann, E., Hoener, M.C., Brenneisen, R., Huwyler, J. & Liechti, M.E. (2011) The norepinephrine transporter inhibitor reboxetine reduces stimulant effects of MDMA (""ecstasy"") in humans. Clinical pharmacology and therapeutics, 2, 246-55.","This study assessed the pharmacodynamic and pharmacokinetic effects of the
interaction between the selective norepinephrine (NE) transporter inhibitor
reboxetine and 3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy"") in 16 healthy 
subjects. The study used a double-blind, placebo-controlled crossover design.
Reboxetine reduced the effects of MDMA including elevations in plasma levels of
NE, increases in blood pressure and heart rate, subjective drug high,
stimulation, and emotional excitation. These effects were evident despite an
increase in the concentrations of MDMA and its active metabolite
3,4-methylenedioxyamphetamine (MDA) in plasma. The results demonstrate that
transporter-mediated NE release has a critical role in the cardiovascular and
stimulant-like effects of MDMA in humans.",NULL,0.24,mg/kg,"(±) MDMA hydrochloride (Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100mg and 25mg) by Bichsel Laboratories AG, Interlaken, Switzerland, in accordance with good manufacturing practice. Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute dose of 125mg, corresponding to a dose of 1.85 ± 0.24mg/kg body weight. This dose Clinical pharmacology & Therapeutics | VOLUME 90 NUMBER 2 | august 2011 253 articles of MDMA corresponds to a typical recreational dose of ecstasy, and comparable doses of MDMA have previously been used in controlled settings.2–4,43 Reboxetine is a potent, selective, and specific NE uptake inhibitor.35 Reboxetine (8mg, Edronax; Pfizer, Zurich, Switzerland) and identical-looking placebo (lactose) capsules were similarly prepared by Bichsel Laboratories. Reboxetine (8mg) or placebo was administered twice, 12h and 1h before MDMA (125mg) or placebo. Similar dosing regim",MDMA,"capsule (oral)",0.00,0.00,12.08,9.84,31.19,16.80,0.00,0.00,13.51,9.80
166,16,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),21677639,10.1038/clpt.2011.78,"Hysek CM","2011 Aug","Hysek, C.M., Simmler, L.D., Ineichen, M., Grouzmann, E., Hoener, M.C., Brenneisen, R., Huwyler, J. & Liechti, M.E. (2011) The norepinephrine transporter inhibitor reboxetine reduces stimulant effects of MDMA (""ecstasy"") in humans. Clinical pharmacology and therapeutics, 2, 246-55.","This study assessed the pharmacodynamic and pharmacokinetic effects of the
interaction between the selective norepinephrine (NE) transporter inhibitor
reboxetine and 3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy"") in 16 healthy 
subjects. The study used a double-blind, placebo-controlled crossover design.
Reboxetine reduced the effects of MDMA including elevations in plasma levels of
NE, increases in blood pressure and heart rate, subjective drug high,
stimulation, and emotional excitation. These effects were evident despite an
increase in the concentrations of MDMA and its active metabolite
3,4-methylenedioxyamphetamine (MDA) in plasma. The results demonstrate that
transporter-mediated NE release has a critical role in the cardiovascular and
stimulant-like effects of MDMA in humans.",NULL,"0.24 + 8","mg/kg + mg","(±) MDMA hydrochloride (Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100mg and 25mg) by Bichsel Laboratories AG, Interlaken, Switzerland, in accordance with good manufacturing practice. Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute dose of 125mg, corresponding to a dose of 1.85 ± 0.24mg/kg body weight. This dose Clinical pharmacology & Therapeutics | VOLUME 90 NUMBER 2 | august 2011 253 articles of MDMA corresponds to a typical recreational dose of ecstasy, and comparable doses of MDMA have previously been used in controlled settings.2–4,43 Reboxetine is a potent, selective, and specific NE uptake inhibitor.35 Reboxetine (8mg, Edronax; Pfizer, Zurich, Switzerland) and identical-looking placebo (lactose) capsules were similarly prepared by Bichsel Laboratories. Reboxetine (8mg) or placebo was administered twice, 12h and 1h before MDMA (125mg) or placebo. Similar dosing regim","MDMA + Reboxetine","capsule (oral) + capsule (oral)",0.00,0.00,7.31,6.96,15.72,9.84,0.00,0.00,8.30,6.96
174,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),22034656,10.1124/jpet.111.88425,"Hysek CM","2012 Feb","Hysek, C.M., Brugger, R., Simmler, L.D., Bruggisser, M., Donzelli, M., Grouzmann, E., Hoener, M.C. & Liechti, M.E. (2012) Effects of the Î±â‚‚-adrenergic agonist clonidine on the pharmacodynamics and pharmacokinetics of 3,4-methylenedioxymethamphetamine in healthy volunteers. The Journal of pharmacology and experimental therapeutics, 2, 286-94.","The mechanism of action of 3,4-methylenedioxymethamphetamine (MDMA; ecstasy)
involves the carrier-mediated and potentially vesicular release of monoamines. We
assessed the effects of the sympatholytic Î±â‚‚-adrenergic receptor agonist
clonidine (150 Î¼g p.o.), which inhibits the neuronal vesicular release of
norepinephrine, on the cardiovascular and psychotropic response to MDMA (125 mg
p.o.) in 16 healthy subjects. The study used a randomized, double-blind,
placebo-controlled crossover design with four experimental sessions. The
administration of clonidine 1 h before MDMA reduced the MDMA-induced increases in
plasma norepinephrine concentrations and blood pressure but only to the extent
that clonidine lowered norepinephrine levels and blood pressure compared with
placebo. Thus, no interaction was found between the cardiovascular effects of the
two drugs. Clonidine did not affect the psychotropic effects or pharmacokinetics 
of MDMA. The lack of an interaction of the effects of clonidine and MDMA
indicates that vesicular release of norepinephrine, which is inhibited by
clonidine, does not critically contribute to the effects of MDMA in humans.
Although clonidine may be used in the treatment of stimulant-induced hypertensive
reactions, the present findings do not support a role for Î±â‚‚-adrenergic receptor 
agonists in the prevention of psychostimulant dependence.",NULL,150,g,"Drugs. ()MDMA hydrochloride (C11H15NO2; Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100 and 25 mg). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute oral dose of 125 mg, corresponding to a dose of 1.88  0.28 mg/kg body weight. Clonidine tablets (150 g; Catapresan; Boehringer Ingelheim GmbH, Basel, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo (lactose) capsules were prepared. Clonidine (150 g) or placebo was administered 1 h before MDMA (125 mg) or placebo administration. Oral medication administration was supervised by study personnel. ",Clonidine,"capsule (oral)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),22034656,10.1124/jpet.111.88425,"Hysek CM","2012 Feb","Hysek, C.M., Brugger, R., Simmler, L.D., Bruggisser, M., Donzelli, M., Grouzmann, E., Hoener, M.C. & Liechti, M.E. (2012) Effects of the Î±â‚‚-adrenergic agonist clonidine on the pharmacodynamics and pharmacokinetics of 3,4-methylenedioxymethamphetamine in healthy volunteers. The Journal of pharmacology and experimental therapeutics, 2, 286-94.","The mechanism of action of 3,4-methylenedioxymethamphetamine (MDMA; ecstasy)
involves the carrier-mediated and potentially vesicular release of monoamines. We
assessed the effects of the sympatholytic Î±â‚‚-adrenergic receptor agonist
clonidine (150 Î¼g p.o.), which inhibits the neuronal vesicular release of
norepinephrine, on the cardiovascular and psychotropic response to MDMA (125 mg
p.o.) in 16 healthy subjects. The study used a randomized, double-blind,
placebo-controlled crossover design with four experimental sessions. The
administration of clonidine 1 h before MDMA reduced the MDMA-induced increases in
plasma norepinephrine concentrations and blood pressure but only to the extent
that clonidine lowered norepinephrine levels and blood pressure compared with
placebo. Thus, no interaction was found between the cardiovascular effects of the
two drugs. Clonidine did not affect the psychotropic effects or pharmacokinetics 
of MDMA. The lack of an interaction of the effects of clonidine and MDMA
indicates that vesicular release of norepinephrine, which is inhibited by
clonidine, does not critically contribute to the effects of MDMA in humans.
Although clonidine may be used in the treatment of stimulant-induced hypertensive
reactions, the present findings do not support a role for Î±â‚‚-adrenergic receptor 
agonists in the prevention of psychostimulant dependence.",NULL,125,mg,"Drugs. ()MDMA hydrochloride (C11H15NO2; Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100 and 25 mg). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute oral dose of 125 mg, corresponding to a dose of 1.88  0.28 mg/kg body weight. Clonidine tablets (150 g; Catapresan; Boehringer Ingelheim GmbH, Basel, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo (lactose) capsules were prepared. Clonidine (150 g) or placebo was administered 1 h before MDMA (125 mg) or placebo administration. Oral medication administration was supervised by study personnel. ",MDMA,"capsule (oral)",5.24,4.96,8.22,7.80,31.82,22.00,24.97,17.76,12.68,12.08
176,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),22034656,10.1124/jpet.111.88425,"Hysek CM","2012 Feb","Hysek, C.M., Brugger, R., Simmler, L.D., Bruggisser, M., Donzelli, M., Grouzmann, E., Hoener, M.C. & Liechti, M.E. (2012) Effects of the Î±â‚‚-adrenergic agonist clonidine on the pharmacodynamics and pharmacokinetics of 3,4-methylenedioxymethamphetamine in healthy volunteers. The Journal of pharmacology and experimental therapeutics, 2, 286-94.","The mechanism of action of 3,4-methylenedioxymethamphetamine (MDMA; ecstasy)
involves the carrier-mediated and potentially vesicular release of monoamines. We
assessed the effects of the sympatholytic Î±â‚‚-adrenergic receptor agonist
clonidine (150 Î¼g p.o.), which inhibits the neuronal vesicular release of
norepinephrine, on the cardiovascular and psychotropic response to MDMA (125 mg
p.o.) in 16 healthy subjects. The study used a randomized, double-blind,
placebo-controlled crossover design with four experimental sessions. The
administration of clonidine 1 h before MDMA reduced the MDMA-induced increases in
plasma norepinephrine concentrations and blood pressure but only to the extent
that clonidine lowered norepinephrine levels and blood pressure compared with
placebo. Thus, no interaction was found between the cardiovascular effects of the
two drugs. Clonidine did not affect the psychotropic effects or pharmacokinetics 
of MDMA. The lack of an interaction of the effects of clonidine and MDMA
indicates that vesicular release of norepinephrine, which is inhibited by
clonidine, does not critically contribute to the effects of MDMA in humans.
Although clonidine may be used in the treatment of stimulant-induced hypertensive
reactions, the present findings do not support a role for Î±â‚‚-adrenergic receptor 
agonists in the prevention of psychostimulant dependence.",NULL,"150 + 125","g + mg","Drugs. ()MDMA hydrochloride (C11H15NO2; Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100 and 25 mg). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute oral dose of 125 mg, corresponding to a dose of 1.88  0.28 mg/kg body weight. Clonidine tablets (150 g; Catapresan; Boehringer Ingelheim GmbH, Basel, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo (lactose) capsules were prepared. Clonidine (150 g) or placebo was administered 1 h before MDMA (125 mg) or placebo administration. Oral medication administration was supervised by study personnel.  + Drugs. ()MDMA hydrochloride (C11H15NO2; Lipomed AG, Arlesheim, Switzerland) was obtained from the Swiss Federal Office of Public Health and prepared as gelatin capsules (100 and 25 mg). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single absolute oral dose of 125 mg, corre","Clonidine + MDMA","capsule (oral) + capsule (oral)",2.22,3.56,5.20,5.68,23.47,21.32,16.09,19.88,7.35,9.24
217,30,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),25052243,10.1177/0269881114542454,"Schmid Y","2014 Sep","Schmid, Y., Hysek, C.M., Simmler, L.D., Crockett, M.J., Quednow, B.B. & Liechti, M.E. (2014) Differential effects of MDMA and methylphenidate on social cognition. Journal of psychopharmacology (Oxford, England), 9, 847-56.","Social cognition is important in everyday-life social interactions. The social
cognitive effects of 3,4-methylenedioxymethamphetamine (MDMA, 'ecstasy') and
methylphenidate (both used for neuroenhancement and as party drugs) are largely
unknown. We investigated the acute effects of MDMA (75 mg), methylphenidate (40
mg) and placebo using the Facial Emotion Recognition Task, Multifaceted Empathy
Test, Movie for the Assessment of Social Cognition, Social Value Orientation Test
and the Moral Judgment Task in a cross-over study in 30 healthy subjects.
Additionally, subjective, autonomic, pharmacokinetic, endocrine and adverse drug 
effects were measured. MDMA enhanced emotional empathy for positive emotionally
charged situations in the MET and tended to reduce the recognition of sad faces
in the Facial Emotion Recognition Task. MDMA had no effects on cognitive empathy 
in the Multifaceted Empathy Test or social cognitive inferences in the Movie for 
the Assessment of Social Cognition. MDMA produced subjective 'empathogenic'
effects, such as drug liking, closeness to others, openness and trust. In
contrast, methylphenidate lacked such subjective effects and did not alter
emotional processing, empathy or mental perspective-taking. MDMA but not
methylphenidate increased the plasma levels of oxytocin and prolactin. None of
the drugs influenced moral judgment. Effects on emotion recognition and emotional
empathy were evident at a low dose of MDMA and likely contribute to the
popularity of the drug.",NULL,75,mg,NULL,MDMA,"capsule (oral)",NULL,NULL,3.20,4.27,10.35,11.61,NULL,NULL,4.15,5.92
218,30,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),25052243,10.1177/0269881114542454,"Schmid Y","2014 Sep","Schmid, Y., Hysek, C.M., Simmler, L.D., Crockett, M.J., Quednow, B.B. & Liechti, M.E. (2014) Differential effects of MDMA and methylphenidate on social cognition. Journal of psychopharmacology (Oxford, England), 9, 847-56.","Social cognition is important in everyday-life social interactions. The social
cognitive effects of 3,4-methylenedioxymethamphetamine (MDMA, 'ecstasy') and
methylphenidate (both used for neuroenhancement and as party drugs) are largely
unknown. We investigated the acute effects of MDMA (75 mg), methylphenidate (40
mg) and placebo using the Facial Emotion Recognition Task, Multifaceted Empathy
Test, Movie for the Assessment of Social Cognition, Social Value Orientation Test
and the Moral Judgment Task in a cross-over study in 30 healthy subjects.
Additionally, subjective, autonomic, pharmacokinetic, endocrine and adverse drug 
effects were measured. MDMA enhanced emotional empathy for positive emotionally
charged situations in the MET and tended to reduce the recognition of sad faces
in the Facial Emotion Recognition Task. MDMA had no effects on cognitive empathy 
in the Multifaceted Empathy Test or social cognitive inferences in the Movie for 
the Assessment of Social Cognition. MDMA produced subjective 'empathogenic'
effects, such as drug liking, closeness to others, openness and trust. In
contrast, methylphenidate lacked such subjective effects and did not alter
emotional processing, empathy or mental perspective-taking. MDMA but not
methylphenidate increased the plasma levels of oxytocin and prolactin. None of
the drugs influenced moral judgment. Effects on emotion recognition and emotional
empathy were evident at a low dose of MDMA and likely contribute to the
popularity of the drug.",NULL,40,mg,NULL,Methylphenidate,"capsule (oral)",NULL,NULL,0.88,1.97,1.40,3.23,NULL,NULL,0.69,1.48
222,16,0,1440,NULL,healthy,5D-ASC(3D-OAV+2D),25575620,10.1016/j.biopsych.2014.11.015,"Schmid Y","2015 Oct 15","Schmid, Y., Enzler, F., Gasser, P., Grouzmann, E., Preller, K.H., Vollenweider, F.X., Brenneisen, R., MÃ¼ller, F., Borgwardt, S. & Liechti, M.E. (2015) Acute Effects of Lysergic Acid Diethylamide in Healthy Subjects. Biological psychiatry, 8, 544-53.","BACKGROUND: After no research in humans for >40 years, there is renewed interest 
in using lysergic acid diethylamide (LSD) in clinical psychiatric research and
practice. There are no modern studies on the subjective and autonomic effects of 
LSD, and its endocrine effects are unknown. In animals, LSD disrupts prepulse
inhibition (PPI) of the acoustic startle response, and patients with
schizophrenia exhibit similar impairments in PPI. However, no data are available 
on the effects of LSD on PPI in humans.
METHODS: In a double-blind, randomized, placebo-controlled, crossover study, LSD 
(200 Î¼g) and placebo were administered to 16 healthy subjects (8 women, 8 men).
Outcome measures included psychometric scales; investigator ratings; PPI of the
acoustic startle response; and autonomic, endocrine, and adverse effects.
RESULTS: Administration of LSD to healthy subjects produced pronounced
alterations in waking consciousness that lasted 12 hours. The predominant effects
induced by LSD included visual hallucinations, audiovisual synesthesia, and
positively experienced derealization and depersonalization phenomena. Subjective 
well-being, happiness, closeness to others, openness, and trust were increased by
LSD. Compared with placebo, LSD decreased PPI. LSD significantly increased blood 
pressure, heart rate, body temperature, pupil size, plasma cortisol, prolactin,
oxytocin, and epinephrine. Adverse effects produced by LSD completely subsided
within 72 hours. No severe acute adverse effects were observed.
CONCLUSIONS: In addition to marked hallucinogenic effects, LSD exerts
methylenedioxymethamphetamine-like empathogenic mood effects that may be useful
in psychotherapy. LSD altered sensorimotor gating in a human model of psychosis, 
supporting the use of LSD in translational psychiatric research. In a controlled 
clinical setting, LSD can be used safely, but it produces significant
sympathomimetic stimulation.",NULL,200,µg,NULL,LSD,"capsule (oral)",14.95,9.97,26.48,26.17,55.54,22.43,38.94,24.92,62.62,14.95
224,10,NULL,420,NULL,Other,5D-ASC(3D-OAV+2D),25586396,10.177/0269881114564144,NULL,NULL,NULL,NULL,NULL,0.3,mg,"For the first psilocybin session, participants received a dose of 0.3 mg/kg. For the second session, the dose was increased to 0.4 mg/kg unless the participant (i) was unwilling to increase the dose; (ii) experienced adverse effects during the first session which suggested that a higher dose would pose significant risk; or (iii) reported a “complete” mystical experience during the first session (Griffiths et al., 2006), indicating very strong effects from 0.3 mg/kg. ",Psilocybin,"capsule (oral)",30.28,41.84,39.99,45.76,64.64,55.41,53.22,50.09,85.21,52.24
