experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Affect_mean,Affect_std,Cognition_mean,Cognition_std,Intensity_mean,Intensity_std,Perception_mean,Perception_std,Somaesthesia_mean,Somaesthesia_std,Volition_mean,Volition_std
161,18,0,420,NULL,healthy,HRS,21674151,10.1007/s00213-011-2358-5,"Griffiths RR","2011 Dec","Griffiths, R.R., Johnson, M.W., Richards, W.A., Richards, B.D., McCann, U. & Jesse, R. (2011) Psilocybin occasioned mystical-type experiences: immediate and persisting dose-related effects. Psychopharmacology, 4, 649-65.","RATIONALE: This dose-effect study extends previous observations showing that
psilocybin can occasion mystical-type experiences having persisting positive
effects on attitudes, mood, and behavior.
OBJECTIVES: This double-blind study evaluated psilocybin (0, 5, 10, 20, 30 mg/70 
kg, p.o.) administered under supportive conditions.
METHODS: Participants were 18 adults (17 hallucinogen-naÃ¯ve). Five 8-h sessions
were conducted individually for each participant at 1-month intervals.
Participants were randomized to receive the four active doses in either ascending
or descending order (nine participants each). Placebo was scheduled
quasi-randomly. During sessions, volunteers used eyeshades and were instructed to
direct their attention inward. Volunteers completed questionnaires assessing
effects immediately after and 1 month after each session, and at 14 months
follow-up.
RESULTS: Psilocybin produced acute perceptual and subjective effects including,
at 20 and/or 30 mg/70 kg, extreme anxiety/fear (39% of volunteers) and/or
mystical-type experience (72% of volunteers). One month after sessions at the two
highest doses, volunteers rated the psilocybin experience as having substantial
personal and spiritual significance, and attributed to the experience sustained
positive changes in attitudes, mood, and behavior, with the ascending dose
sequence showing greater positive effects. At 14 months, ratings were
undiminished and were consistent with changes rated by community observers. Both 
the acute and persisting effects of psilocybin were generally a monotonically
increasing function of dose, with the lowest dose showing significant effects.
CONCLUSIONS: Under supportive conditions, 20 and 30 mg/70 kg psilocybin
occasioned mystical-type experiences having persisting positive effects on
attitudes, mood, and behavior. Implications for therapeutic trials are discussed.",NULL,20,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Psilocybin,oral,1.95,0.59,2.08,0.81,2.64,0.64,1.72,0.72,1.91,0.72,1.79,0.51
162,18,0,420,NULL,healthy,HRS,21674151,10.1007/s00213-011-2358-5,"Griffiths RR","2011 Dec","Griffiths, R.R., Johnson, M.W., Richards, W.A., Richards, B.D., McCann, U. & Jesse, R. (2011) Psilocybin occasioned mystical-type experiences: immediate and persisting dose-related effects. Psychopharmacology, 4, 649-65.","RATIONALE: This dose-effect study extends previous observations showing that
psilocybin can occasion mystical-type experiences having persisting positive
effects on attitudes, mood, and behavior.
OBJECTIVES: This double-blind study evaluated psilocybin (0, 5, 10, 20, 30 mg/70 
kg, p.o.) administered under supportive conditions.
METHODS: Participants were 18 adults (17 hallucinogen-naÃ¯ve). Five 8-h sessions
were conducted individually for each participant at 1-month intervals.
Participants were randomized to receive the four active doses in either ascending
or descending order (nine participants each). Placebo was scheduled
quasi-randomly. During sessions, volunteers used eyeshades and were instructed to
direct their attention inward. Volunteers completed questionnaires assessing
effects immediately after and 1 month after each session, and at 14 months
follow-up.
RESULTS: Psilocybin produced acute perceptual and subjective effects including,
at 20 and/or 30 mg/70 kg, extreme anxiety/fear (39% of volunteers) and/or
mystical-type experience (72% of volunteers). One month after sessions at the two
highest doses, volunteers rated the psilocybin experience as having substantial
personal and spiritual significance, and attributed to the experience sustained
positive changes in attitudes, mood, and behavior, with the ascending dose
sequence showing greater positive effects. At 14 months, ratings were
undiminished and were consistent with changes rated by community observers. Both 
the acute and persisting effects of psilocybin were generally a monotonically
increasing function of dose, with the lowest dose showing significant effects.
CONCLUSIONS: Under supportive conditions, 20 and 30 mg/70 kg psilocybin
occasioned mystical-type experiences having persisting positive effects on
attitudes, mood, and behavior. Implications for therapeutic trials are discussed.",NULL,30,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Psilocybin,oral,2.16,0.68,2.26,0.93,2.69,0.55,2.09,0.85,2.12,0.64,1.81,0.68
168,30,0,60,NULL,healthy,HRS,21901316,10.1007/s00213-011-2470-6,"Addy PH","2012 Mar"," & Addy, P.H. (2012) Acute and post-acute behavioral and psychological effects of salvinorin A in humans. Psychopharmacology, 1, 195-204.","RATIONALE: Salvia divinorum has been used for centuries, and nontraditional use
in modern societies is increasing. Inebriation and aftereffects of use are poorly
documented in the scientific literature.
OBJECTIVES: This double-blind, placebo-controlled, randomized study analyzed
subjective experiences of salvinorin A (SA) inebriation and consequences of use
after 8 weeks.
METHODS: Thirty middle-aged, well-educated, hallucinogen-experienced participants
smoked either 1,017 or 100â€‰Î¼g SA 2 weeks apart in counterbalanced order. Vital
signs were recorded before and after inhalation. A researcher rated participants'
behavior during sessions. Participants completed the Hallucinogen Rating Scale
(HRS) assessing inebriation immediately after each session. Differences were
analyzed between groups as functions of dose and time. After 8 weeks,
participants were interviewed to determine reported consequences and
aftereffects.
RESULTS: Participants talked, laughed, and moved more often on an active dose.
All six HRS clusters were significantly elevated on an active dose indicating
hallucinogenic experiences. No significant adverse events were observed or
reported by participants.
CONCLUSIONS: The present results indicate similarities as well as differences
between the subjective effects of S. divinorum and other hallucinogens. As a
selective kappa opioid receptor agonist, SA may be useful for expanding
understanding of the psychopharmacology and psychology of hallucinogenic states
beyond serotonergic mechanisms.",NULL,1017,µg,"Smoking pipe. ""The doses were: an active dose of
1,017 μg SA dissolved onto 25 mg dried S. divinorum leaf
and a presumed non-psychoactive placebo dose of
25 mg un-enhanced dried S. divinorum leaf containing
approximately 100 μg SA."" ""'it is safe to say that the dosage is
accurate within a plus or minus 2% margin'"".",Salvinorin-A,inhalation,1.50,0.58,1.61,0.81,3.00,0.77,1.71,0.73,1.27,0.54,1.85,0.46
169,30,0,60,NULL,healthy,HRS,21901316,10.1007/s00213-011-2470-6,"Addy PH","2012 Mar"," & Addy, P.H. (2012) Acute and post-acute behavioral and psychological effects of salvinorin A in humans. Psychopharmacology, 1, 195-204.","RATIONALE: Salvia divinorum has been used for centuries, and nontraditional use
in modern societies is increasing. Inebriation and aftereffects of use are poorly
documented in the scientific literature.
OBJECTIVES: This double-blind, placebo-controlled, randomized study analyzed
subjective experiences of salvinorin A (SA) inebriation and consequences of use
after 8 weeks.
METHODS: Thirty middle-aged, well-educated, hallucinogen-experienced participants
smoked either 1,017 or 100â€‰Î¼g SA 2 weeks apart in counterbalanced order. Vital
signs were recorded before and after inhalation. A researcher rated participants'
behavior during sessions. Participants completed the Hallucinogen Rating Scale
(HRS) assessing inebriation immediately after each session. Differences were
analyzed between groups as functions of dose and time. After 8 weeks,
participants were interviewed to determine reported consequences and
aftereffects.
RESULTS: Participants talked, laughed, and moved more often on an active dose.
All six HRS clusters were significantly elevated on an active dose indicating
hallucinogenic experiences. No significant adverse events were observed or
reported by participants.
CONCLUSIONS: The present results indicate similarities as well as differences
between the subjective effects of S. divinorum and other hallucinogens. As a
selective kappa opioid receptor agonist, SA may be useful for expanding
understanding of the psychopharmacology and psychology of hallucinogenic states
beyond serotonergic mechanisms.",NULL,100,µg,"Control group, used as placebo, presumably non-psychoactive dosage; Smoking pipe. ""These
placebo doses theoretically contained approximately 0.4%
SA, or 100 μg per 25-mg dose""",Salvinorin-A,inhalation,0.75,0.47,0.37,0.41,0.38,0.76,0.33,0.36,0.31,0.33,0.94,0.53
170,10,0,240,NULL,NULL,HRS,22005052,10.1097/JCP.0b013e31823607f6,"Dos Santos RG","2011 Dec","Dos Santos, R.G., Valle, M., Bouso, J.C., NomdedÃ©u, J.F., RodrÃ­guez-Espinosa, J., McIlhenny, E.H., Barker, S.A., Barbanoj, M.J. & Riba, J. (2011) Autonomic, neuroendocrine, and immunological effects of ayahuasca: a comparative study with d-amphetamine. Journal of clinical psychopharmacology, 6, 717-26.","Ayahuasca is an Amazonian psychotropic plant tea combining the 5-HT2A agonist
N,N-dimethyltryptamine (DMT) and monoamine oxidase-inhibiting Î²-carboline
alkaloids that render DMT orally active. The tea, obtained from Banisteriopsis
caapi and Psychotria viridis, has traditionally been used for religious, ritual, 
and medicinal purposes by the indigenous peoples of the region. More recently,
the syncretistic religious use of ayahuasca has expanded to the United States and
Europe. Here we conducted a double-blind randomized crossover clinical trial to
investigate the physiological impact of ayahuasca in terms of autonomic,
neuroendocrine, and immunomodulatory effects. An oral dose of encapsulated
freeze-dried ayahuasca (1.0 mg DMT/kg body weight) was compared versus a placebo 
and versus a positive control (20 mg d-amphetamine) in a group of 10 healthy
volunteers. Ayahuasca led to measurable DMT plasma levels and distinct subjective
and neurophysiological effects that were absent after amphetamine. Both drugs
increased pupillary diameter, with ayahuasca showing milder effects. Prolactin
levels were significantly increased by ayahuasca but not by amphetamine, and
cortisol was increased by both, with ayahuasca leading to the higher peak values.
Ayahuasca and amphetamine induced similar time-dependent modifications in
lymphocyte subpopulations. Percent CD4 and CD3 were decreased, whereas natural
killer cells were increased. Maximum changes occurred around 2 hours, returning
to baseline levels at 24 hours. In conclusion, ayahuasca displayed moderate
sympathomimetic effects, significant neuroendocrine stimulation, and a
time-dependent modulatory effect on cell-mediated immunity. Future studies on the
health impact of long-term ayahuasca consumption should consider the assessment
of immunological status in regular users.",NULL,1,"mg * body weight (kg)","The administered drugs were a placebo (lactose), 20 mg D-amphetamine, and a freeze-dried encapsulated formulation of ayahuasca equivalent to 1 mg DMT/kg body weight. The freeze-dried material was obtained ffrom a Brazilian batch of ayahuasca and contained 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline, and 11.36 mg tetrahydroharmine per gram. The ayahuasca dose administered was chosen based on an earlier work in which it had been proved to elicit full-blown psychotropic effects. The administration of placebo and the 2 active treatments in capsules allowed for the adequate masking of drug taste.",DMT,"capsule (oral)",1.64,0.78,1.59,1.19,2.23,1.10,1.49,1.06,1.30,0.92,2.71,1.49
171,10,0,240,NULL,NULL,HRS,22005052,10.1097/JCP.0b013e31823607f6,"Dos Santos RG","2011 Dec","Dos Santos, R.G., Valle, M., Bouso, J.C., NomdedÃ©u, J.F., RodrÃ­guez-Espinosa, J., McIlhenny, E.H., Barker, S.A., Barbanoj, M.J. & Riba, J. (2011) Autonomic, neuroendocrine, and immunological effects of ayahuasca: a comparative study with d-amphetamine. Journal of clinical psychopharmacology, 6, 717-26.","Ayahuasca is an Amazonian psychotropic plant tea combining the 5-HT2A agonist
N,N-dimethyltryptamine (DMT) and monoamine oxidase-inhibiting Î²-carboline
alkaloids that render DMT orally active. The tea, obtained from Banisteriopsis
caapi and Psychotria viridis, has traditionally been used for religious, ritual, 
and medicinal purposes by the indigenous peoples of the region. More recently,
the syncretistic religious use of ayahuasca has expanded to the United States and
Europe. Here we conducted a double-blind randomized crossover clinical trial to
investigate the physiological impact of ayahuasca in terms of autonomic,
neuroendocrine, and immunomodulatory effects. An oral dose of encapsulated
freeze-dried ayahuasca (1.0 mg DMT/kg body weight) was compared versus a placebo 
and versus a positive control (20 mg d-amphetamine) in a group of 10 healthy
volunteers. Ayahuasca led to measurable DMT plasma levels and distinct subjective
and neurophysiological effects that were absent after amphetamine. Both drugs
increased pupillary diameter, with ayahuasca showing milder effects. Prolactin
levels were significantly increased by ayahuasca but not by amphetamine, and
cortisol was increased by both, with ayahuasca leading to the higher peak values.
Ayahuasca and amphetamine induced similar time-dependent modifications in
lymphocyte subpopulations. Percent CD4 and CD3 were decreased, whereas natural
killer cells were increased. Maximum changes occurred around 2 hours, returning
to baseline levels at 24 hours. In conclusion, ayahuasca displayed moderate
sympathomimetic effects, significant neuroendocrine stimulation, and a
time-dependent modulatory effect on cell-mediated immunity. Future studies on the
health impact of long-term ayahuasca consumption should consider the assessment
of immunological status in regular users.",NULL,20,mg,"The administered drugs were a placebo (lactose), 20 mg D-amphetamine, and a freeze-dried encapsulated formulation of ayahuasca equivalent to 1 mg DMT/kg body weight. The freeze-dried material was obtained ffrom a Brazilian batch of ayahuasca and contained 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline, and 11.36 mg tetrahydroharmine per gram. The ayahuasca dose administered was chosen based on an earlier work in which it had been proved to elicit full-blown psychotropic effects. The administration of placebo and the 2 active treatments in capsules allowed for the adequate masking of drug taste.",D-amphetamine,"capsule (oral)",2.15,1.21,2.07,1.22,3.33,1.95,1.70,1.42,1.73,1.30,2.70,1.18
172,10,0,240,NULL,NULL,HRS,22005052,10.1097/JCP.0b013e31823607f6,"Dos Santos RG","2011 Dec","Dos Santos, R.G., Valle, M., Bouso, J.C., NomdedÃ©u, J.F., RodrÃ­guez-Espinosa, J., McIlhenny, E.H., Barker, S.A., Barbanoj, M.J. & Riba, J. (2011) Autonomic, neuroendocrine, and immunological effects of ayahuasca: a comparative study with d-amphetamine. Journal of clinical psychopharmacology, 6, 717-26.","Ayahuasca is an Amazonian psychotropic plant tea combining the 5-HT2A agonist
N,N-dimethyltryptamine (DMT) and monoamine oxidase-inhibiting Î²-carboline
alkaloids that render DMT orally active. The tea, obtained from Banisteriopsis
caapi and Psychotria viridis, has traditionally been used for religious, ritual, 
and medicinal purposes by the indigenous peoples of the region. More recently,
the syncretistic religious use of ayahuasca has expanded to the United States and
Europe. Here we conducted a double-blind randomized crossover clinical trial to
investigate the physiological impact of ayahuasca in terms of autonomic,
neuroendocrine, and immunomodulatory effects. An oral dose of encapsulated
freeze-dried ayahuasca (1.0 mg DMT/kg body weight) was compared versus a placebo 
and versus a positive control (20 mg d-amphetamine) in a group of 10 healthy
volunteers. Ayahuasca led to measurable DMT plasma levels and distinct subjective
and neurophysiological effects that were absent after amphetamine. Both drugs
increased pupillary diameter, with ayahuasca showing milder effects. Prolactin
levels were significantly increased by ayahuasca but not by amphetamine, and
cortisol was increased by both, with ayahuasca leading to the higher peak values.
Ayahuasca and amphetamine induced similar time-dependent modifications in
lymphocyte subpopulations. Percent CD4 and CD3 were decreased, whereas natural
killer cells were increased. Maximum changes occurred around 2 hours, returning
to baseline levels at 24 hours. In conclusion, ayahuasca displayed moderate
sympathomimetic effects, significant neuroendocrine stimulation, and a
time-dependent modulatory effect on cell-mediated immunity. Future studies on the
health impact of long-term ayahuasca consumption should consider the assessment
of immunological status in regular users.",NULL,20,mg,"The administered drugs were a placebo (lactose), 20 mg D-amphetamine, and a freeze-dried encapsulated formulation of ayahuasca equivalent to 1 mg DMT/kg body weight. The freezedried material was obtained from a Brazilian batch of ayahuasca and contained 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline, and 11.36 mg tetrahydroharmine per gram. The ayahuasca dose administered was chosen based on an earlier work in which it had been proven to elicit full-blown psychotropic effects.16 The administration of the placebo and the 2 active treatments in capsules allowed for the adequate masking of drug taste.",D-amphetamine,"capsule (oral)",0.79,0.52,0.49,62.00,1.10,0.85,0.24,0.45,0.50,0.60,0.86,0.43
177,35,0,"not controlled",NULL,NULL,HRS,22234927,10.1177/0269881111431752,"Caudevilla-GÃ¡lligo F","2012 Jul","Caudevilla-GÃ¡lligo, F., Riba, J., Ventura, M., GonzÃ¡lez, D., FarrÃ©, M., Barbanoj, M.J. & Bouso, J.C. (2012) 4-Bromo-2,5-dimethoxyphenethylamine (2C-B): presence in the recreational drug market in Spain, pattern of use and subjective effects. Journal of psychopharmacology (Oxford, England), 7, 1026-35.","4-Bromo-2,5-dimethoxyphenethylamine (2C-B) is a psychoactive analogue of
mescaline that is becoming increasingly popular as a rave and club drug. We
investigated its presence in the illicit drug market in Spain, its pattern of use
and profile of subjective effects. Drug material was analysed for 2C-B and
information on pattern of use and subjective effects was obtained from
recreational users. Scores were statistically compared with previously collected 
data on psychostimulants (d-amphetamine), entactogens (MDMA) and psychedelics
(ayahuasca and Salvia divinorum). The percentage of samples containing 2C-B
doubled between 2006 and 2009, evolved from powder to tablet form and showed low 
falsification rates. Respondents reported taking 2C-B orally in doses of about 20
mg. Subjective effects involved perceptual modifications analogous to those
observed after ayahuasca and salvia but absent after amphetamine and MDMA.
Pleasure and sociability effects did not differ from those after MDMA and
incapacitation was lower than for the psychedelics used as comparators. In
conclusion, we found 2C-B is consistently present in the illicit drug market in
Spain. While it elicits perceptual modifications that are analogous to other
psychedelics, the lower impairment and higher pleasurable effects make it
comparable with entactogens.",NULL,NULL,NULL,"Participants were asked to respond to questions, recalling the effects they had experienced when they last took 2C-B alone, i.e. not combined with any other drug.",2C-B,"not controlled",1.54,NULL,1.24,NULL,2.51,NULL,1.62,NULL,1.22,NULL,1.36,NULL
179,12,0,420,NULL,NULL,HRS,22526529,10.1007/s00213-012-2680-6,"Reissig CJ","2012 Sep","Reissig, C.J., Carter, L.P., Johnson, M.W., Mintzer, M.Z., Klinedinst, M.A. & Griffiths, R.R. (2012) High doses of dextromethorphan, an NMDA antagonist, produce effects similar to classic hallucinogens. Psychopharmacology, 1, 1-15.","Erratum in
    Psychopharmacology (Berl). 2013 Aug;228(3):513.",NULL,100,mg/70kg,"Drugs and placebo were orally administered in size 0 aqua colored opaque capsules with
approximately 200 ml of water. Four identical capsules were administered in each drug
session containing lactose monohydrate (Ruger Chemical Company, Linden NJ, USA) and
appropriate quantities of powdered dextromethorphan (Spectrum Chemical, Gardena CA,
USA) or triazolam tablets (Halcion; The Upjohn Company, Kalamazoo, MI, USA). Doses of
dextromethorphan are expressed as the free base.",DXM,"capsule (oral)",0.69,0.49,0.43,0.45,1.40,0.87,0.53,0.59,0.60,0.42,1.08,0.45
180,12,0,420,NULL,NULL,HRS,22526529,10.1007/s00213-012-2680-6,"Reissig CJ","2012 Sep","Reissig, C.J., Carter, L.P., Johnson, M.W., Mintzer, M.Z., Klinedinst, M.A. & Griffiths, R.R. (2012) High doses of dextromethorphan, an NMDA antagonist, produce effects similar to classic hallucinogens. Psychopharmacology, 1, 1-15.","Erratum in
    Psychopharmacology (Berl). 2013 Aug;228(3):513.",NULL,200,mg/70kg,"Drugs and placebo were orally administered in size 0 aqua colored opaque capsules with
approximately 200 ml of water. Four identical capsules were administered in each drug
session containing lactose monohydrate (Ruger Chemical Company, Linden NJ, USA) and
appropriate quantities of powdered dextromethorphan (Spectrum Chemical, Gardena CA,
USA) or triazolam tablets (Halcion; The Upjohn Company, Kalamazoo, MI, USA). Doses of
dextromethorphan are expressed as the free base.",DXM,"capsule (oral)",0.85,0.59,0.75,0.59,1.77,0.87,0.55,0.52,1.10,0.80,1.21,0.38
181,12,0,420,NULL,NULL,HRS,22526529,10.1007/s00213-012-2680-6,"Reissig CJ","2012 Sep","Reissig, C.J., Carter, L.P., Johnson, M.W., Mintzer, M.Z., Klinedinst, M.A. & Griffiths, R.R. (2012) High doses of dextromethorphan, an NMDA antagonist, produce effects similar to classic hallucinogens. Psychopharmacology, 1, 1-15.","Erratum in
    Psychopharmacology (Berl). 2013 Aug;228(3):513.",NULL,300,mg/70kg,"Drugs and placebo were orally administered in size 0 aqua colored opaque capsules with
approximately 200 ml of water. Four identical capsules were administered in each drug
session containing lactose monohydrate (Ruger Chemical Company, Linden NJ, USA) and
appropriate quantities of powdered dextromethorphan (Spectrum Chemical, Gardena CA,
USA) or triazolam tablets (Halcion; The Upjohn Company, Kalamazoo, MI, USA). Doses of
dextromethorphan are expressed as the free base.",DXM,"capsule (oral)",0.95,0.45,1.11,0.55,2.15,0.90,1.03,0.59,1.22,0.59,1.44,0.35
182,12,0,420,NULL,NULL,HRS,22526529,10.1007/s00213-012-2680-6,"Reissig CJ","2012 Sep","Reissig, C.J., Carter, L.P., Johnson, M.W., Mintzer, M.Z., Klinedinst, M.A. & Griffiths, R.R. (2012) High doses of dextromethorphan, an NMDA antagonist, produce effects similar to classic hallucinogens. Psychopharmacology, 1, 1-15.","Erratum in
    Psychopharmacology (Berl). 2013 Aug;228(3):513.",NULL,300-700,mg/70kg,"Drugs and placebo were orally administered in size 0 aqua colored opaque capsules with
approximately 200 ml of water. Four identical capsules were administered in each drug
session containing lactose monohydrate (Ruger Chemical Company, Linden NJ, USA) and
appropriate quantities of powdered dextromethorphan (Spectrum Chemical, Gardena CA,
USA) or triazolam tablets (Halcion; The Upjohn Company, Kalamazoo, MI, USA). Doses of
dextromethorphan are expressed as the free base.",DXM,"capsule (oral)",1.35,0.80,1.73,0.87,2.44,0.59,1.57,0.80,1.54,0.69,1.55,0.35
183,12,0,420,NULL,NULL,HRS,22526529,10.1007/s00213-012-2680-6,"Reissig CJ","2012 Sep","Reissig, C.J., Carter, L.P., Johnson, M.W., Mintzer, M.Z., Klinedinst, M.A. & Griffiths, R.R. (2012) High doses of dextromethorphan, an NMDA antagonist, produce effects similar to classic hallucinogens. Psychopharmacology, 1, 1-15.","Erratum in
    Psychopharmacology (Berl). 2013 Aug;228(3):513.",NULL,400-800,mg/70kg,"Drugs and placebo were orally administered in size 0 aqua colored opaque capsules with
approximately 200 ml of water. Four identical capsules were administered in each drug
session containing lactose monohydrate (Ruger Chemical Company, Linden NJ, USA) and
appropriate quantities of powdered dextromethorphan (Spectrum Chemical, Gardena CA,
USA) or triazolam tablets (Halcion; The Upjohn Company, Kalamazoo, MI, USA). Doses of
dextromethorphan are expressed as the free base.",DXM,"capsule (oral)",1.91,0.87,2.11,1.14,3.08,0.49,1.94,1.21,1.87,0.49,2.01,0.62
185,10,0,"not controlled",NULL,healthy,HRS,22817868,10.1016/j.biopsych.2012.06.012,"Ranganathan M","2012 Nov 15","Ranganathan, M., Schnakenberg, A., Skosnik, P.D., Cohen, B.M., Pittman, B., Sewell, R.A. & D'Souza, D.C. (2012) Dose-related behavioral, subjective, endocrine, and psychophysiological effects of the Îº opioid agonist Salvinorin A in humans. Biological psychiatry, 10, 871-9.","BACKGROUND: Salvia divinorum (Salvia) is an increasingly popular recreational
drug amongst adolescents and young adults. Its primary active ingredient,
Salvinorin A (SA)-a highly selective agonist at the Îº opiate receptor-is believed
to be one of the most potent naturally occurring hallucinogens. However, there is
little experimental data on the effects of SA in humans.
METHODS: In a 3-day, double-blind, randomized, crossover, counterbalanced study, 
the behavioral, subjective, cognitive, psychophysiological, and endocrine effects
of 0 mg, 8 mg, and 12 mg of inhaled SA were characterized in 10 healthy
individuals who had previously used Salvia.
RESULTS: SA produced psychotomimetic effects and perceptual alterations,
including dissociative and somaesthetic effects, increased plasma cortisol and
prolactin, and reduced resting electroencephalogram spectral power. The SA
administration was associated with a rapid increase of its levels in the blood.
SA did not produce euphoria, cognitive deficits, or changes in vital signs. The
effects were transient and not dose-related. SA administration was very
well-tolerated without acute or delayed adverse effects.
CONCLUSIONS: SA produced a wide range of transient effects in healthy subjects.
The perceptual altering effects and lack of euphoric effects would explain its
intermittent use pattern. Such a profile would also suggest a low addictive
potential similar to other hallucinogens and consistent with Îº opiate receptor
agonism. Further work is warranted to carefully characterize a full spectrum of
its effects in humans, to elucidate the underlying mechanisms involved, and to
explore the basis for individual variability in its effects.",NULL,8,mg,"vaporizer; ""Placebo consisted of the container devoid of any SA.""",Salvinorin-A,inhalation,NULL,NULL,NULL,NULL,1.35,1.11,NULL,NULL,1.00,0.71,NULL,NULL
186,10,0,"not controlled",NULL,healthy,HRS,22817868,10.1016/j.biopsych.2012.06.012,"Ranganathan M","2012 Nov 15","Ranganathan, M., Schnakenberg, A., Skosnik, P.D., Cohen, B.M., Pittman, B., Sewell, R.A. & D'Souza, D.C. (2012) Dose-related behavioral, subjective, endocrine, and psychophysiological effects of the Îº opioid agonist Salvinorin A in humans. Biological psychiatry, 10, 871-9.","BACKGROUND: Salvia divinorum (Salvia) is an increasingly popular recreational
drug amongst adolescents and young adults. Its primary active ingredient,
Salvinorin A (SA)-a highly selective agonist at the Îº opiate receptor-is believed
to be one of the most potent naturally occurring hallucinogens. However, there is
little experimental data on the effects of SA in humans.
METHODS: In a 3-day, double-blind, randomized, crossover, counterbalanced study, 
the behavioral, subjective, cognitive, psychophysiological, and endocrine effects
of 0 mg, 8 mg, and 12 mg of inhaled SA were characterized in 10 healthy
individuals who had previously used Salvia.
RESULTS: SA produced psychotomimetic effects and perceptual alterations,
including dissociative and somaesthetic effects, increased plasma cortisol and
prolactin, and reduced resting electroencephalogram spectral power. The SA
administration was associated with a rapid increase of its levels in the blood.
SA did not produce euphoria, cognitive deficits, or changes in vital signs. The
effects were transient and not dose-related. SA administration was very
well-tolerated without acute or delayed adverse effects.
CONCLUSIONS: SA produced a wide range of transient effects in healthy subjects.
The perceptual altering effects and lack of euphoric effects would explain its
intermittent use pattern. Such a profile would also suggest a low addictive
potential similar to other hallucinogens and consistent with Îº opiate receptor
agonism. Further work is warranted to carefully characterize a full spectrum of
its effects in humans, to elucidate the underlying mechanisms involved, and to
explore the basis for individual variability in its effects.",NULL,12,mg,"vaporizer; ""Placebo consisted of the container devoid of any SA.""",Salvinorin-A,inhalation,NULL,NULL,NULL,NULL,1.25,0.79,NULL,NULL,0.00,0.40,NULL,NULL
187,20,0,125,NULL,NULL,HRS,23096769,10.1007/s00213-012-2883-x,"Carter LP","2013 Mar","Carter, L.P., Kleykamp, B.A., Griffiths, R.R. & Mintzer, M.Z. (2013) Cognitive effects of intramuscular ketamine and oral triazolam in healthy volunteers. Psychopharmacology, 1, 53-63.","RATIONALE: Several studies have documented impairments in memory processes as a
result of ketamine administration; however, few studies have compared the profile
of cognitive effects of ketamine to other drugs.
OBJECTIVES: The aim of this study was to compare the cognitive effects of
ketamine with those of triazolam in healthy volunteers.
METHODS: Doses of ketamine (0.2, 0.4Â mg/kg intramuscular (i.m.)), triazolam (0.2,
0.4Â mg/70Â kg p.o.), and double-dummy placebos were administered to 20 volunteers 
under repeated measures, counterbalanced, double-blind conditions. Peak
physiological, psychomotor, subjective, and cognitive effects were examined.
RESULTS: Ketamine impaired balance when balance was assessed early in the task
order, whereas triazolam impaired psychomotor coordination and divided attention 
irrespective of task order. Triazolam also tended to produce greater effects on
working memory and episodic memory tasks than ketamine at doses that produced
lower subjective effects and higher estimates of performance.
CONCLUSIONS: Ketamine produces less cognitive impairment than triazolam at doses 
that produced greater subjective effects. Thus ketamine does not produce the
underestimation of cognitive impairment typically seen with triazolam.",NULL,0.2,"mg * body weight (kg)","""Twice during each session, an i.m. injection (containing ketamine or placebo) and a capsule (containing triazolam or placebo) was administered. When triazolam was administered, it always occurred during the first administration event, whereas when ketamine was administered it always occurred during the second administration event.""",Ketamine,i.m.,0.52,0.44,0.42,0.44,1.83,0.63,0.33,0.44,0.59,0.44,1.58,0.63
